title,company,location,salary,skills
Purchasing Agent,Indian Bank,Dushanbe,$65K-$80K,Inventory control Demand forecasting Supply chain management Data analysis Warehouse management
Business Development Manager,Berkeley Group Holdings,Muscat,$59K-$98K,Sales management Sales strategy development Team leadership
Procurement Manager,Seven Group Holdings,Amsterdam,$65K-$89K,Strategic sourcing strategies Supplier evaluation and selection Negotiation skills Vendor management Cost analysis Supply chain management Contract management Problem-solving Attention to detail Communication skills Strategic thinking
IT Support Specialist,Live Nation Entertainment,Ngerulmud,$61K-$122K,Network administration System and server maintenance Cybersecurity knowledge Backup and recovery IT project management skills
Network Administrator,Apple,Papeete,$55K-$124K,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail
Social Media Manager,Lululemon athletica,Yerevan,$58K-$115K,"Social media analytics tools (e.g., Google Analytics, Facebook Insights) Data analysis and reporting Social media ROI measurement Competitive analysis Trend identification"
Psychologist,Woodside Petroleum,Yerevan,$58K-$105K,Research methodology Data analysis Psychological studies Writing research reports Critical thinking
SEO Analyst,Owens Corning,Port-au-Prince,$57K-$126K,SEO (Search Engine Optimization) Content strategy Keyword research Content optimization Content planning Analytics and reporting
Physical Therapist,China National Chemical Corporation (ChemChina),Antananarivo,$60K-$85K,Orthopedic assessment and treatment Rehabilitation exercises Patient education
UX/UI Designer,New Oriental Education & Technology Group,Roseau,$62K-$111K,"User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows"
Copywriter,Fox,Victoria,$60K-$110K,Creative writing Copywriting Advertising copy Content creation Brand storytelling Marketing campaigns Proofreading and editing
Nurse Manager,Mahindra & Mahindra,BogotÃ¡,$63K-$109K,Clinical nursing Patient assessment Care planning Staff development Healthcare protocols Communication skills Problem-solving abilities
Family Lawyer,Cigna Group,Porto-Novo,$62K-$98K,Child custody law Family law Legal advocacy Negotiation Court representation Legal research Client counseling Case preparation
Data Analyst,Norfolk Southern,ReykjavÃ­k,$60K-$98K,"Machine learning algorithms and libraries (e.g., scikit-learn, TensorFlow, PyTorch) Statistical analysis and modeling Data preprocessing and cleaning Big data technologies (e.g., Hadoop, Spark) Data visualization Strong programming skills (Python, R)"
Office Manager,Thor Industries,Marigot,$60K-$129K,Administrative leadership Office management Staff supervision Budgeting and financial management Process improvement Communication skills
Tax Consultant,CSX,Manama,$60K-$125K,Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency
Legal Assistant,Vulcan Materials,Seoul,$57K-$111K,"Legal research Document drafting Case management E-filing Legal databases (e.g., LexisNexis) Client communication Deposition preparation Trial support Ethics and confidentiality Attention to detail Communication skills Legal software proficiency"
Network Administrator,Hochschild Mining,Libreville,$55K-$109K,Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail
Web Designer,KLA,Prague,$58K-$112K,"E-commerce web design UX/UI design Shopping cart integration Payment gateway integration Mobile responsiveness E-commerce platforms (e.g., Shopify)"
Research Scientist,Steel Dynamics,Sri Jayawardenepura Kotte,$57K-$108K,"Research methodologies and data analysis Literature review and synthesis Statistical analysis software (e.g., SPSS, R) Research proposal development Strong communication and reporting skills"
Office Manager,Centrica,Papeete,$64K-$86K,Facilities management Property maintenance Space planning Budget management Health and safety compliance Vendor management
Procurement Specialist,Deutsche Bahn AG,Juba,$61K-$86K,Sourcing strategies Supplier evaluation Market research Cost analysis Contract negotiation
Purchasing Agent,Viatris,Tehran,$64K-$102K,Negotiation skills Vendor management Supply chain knowledge Contract management Analytical skills
Graphic Designer,Oil and Natural Gas Corporation (ONGC),Manama,$65K-$100K,"Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge"
Legal Advisor,Ford Motor Company,Santo Domingo,$63K-$106K,In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling
Legal Secretary,Deutsche Annington Immobilien SE (Now Vonovia SE),Nouakchott,$64K-$114K,Legal research Document drafting Communication skills Legal software proficiency Attention to detail
Accountant,W.R. Berkley,Tehran,$62K-$97K,Tax preparation Tax planning Tax regulations Accounting Tax software proficiency
Art Teacher,Celanese,Islamabad,$63K-$88K,Art education curriculum Program development Teacher training Communication skills Artistic expertise
Marketing Coordinator,LPL Financial Holdings,Conakry,$55K-$92K,Digital marketing strategy development Social media advertising Email marketing Google Analytics and SEO Content management systems (CMS) proficiency
Marketing Manager,Mastercard,Tirana,$63K-$129K,Product positioning and messaging Market research and analysis Product launch planning Competitive analysis Marketing collateral creation Pricing strategies Cross-functional collaboration
HR Coordinator,China Construction Bank,Oslo,$56K-$127K,Training program coordination Training material development Learning management systems
Software Architect,Dominion Energy,Asmara,$64K-$98K,"Cloud computing platforms (AWS, Azure, etc.) Cloud security Containerization (Docker, Kubernetes)"
Network Engineer,Royal Dutch Shell,Nassau,$55K-$95K,"Network management Troubleshooting Network security IT certifications (e.g., CCNA)"
Web Designer,Warner Bros. Discovery,San Juan,$63K-$126K,Frontend web development HTML/CSS Responsive design User interface (UI) design Adobe Creative Suite Collaboration skills
Interior Designer,Royal Caribbean Group,Brasilia,$62K-$95K,Residential interior design Space planning Color theory and selection Furniture and materials selection 3D modeling and rendering
Electrical Engineer,Osram Licht AG (Now part of ams AG),Port Moresby,$59K-$81K,Control system design PLC programming Automation Instrumentation System integration
Architect,Hargreaves Lansdown,Yaren District (de facto),$56K-$80K,Architectural project management Construction documents Building systems Design coordination Client communication
Litigation Attorney,Nvidia,Kyiv (also known as Kiev),$58K-$125K,Litigation Legal research Courtroom representation Case preparation Client counseling Legal writing
Software Tester,Huntington Ingalls Industries,Bandar Seri Begawan,$60K-$97K,"Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing"
Finance Manager,Derwent London,Manila,$65K-$130K,Accounting principles Financial reporting Team management Budgeting Financial analysis
Web Designer,AbbVie,Windhoek,$57K-$104K,"E-commerce web design UX/UI design Shopping cart integration Payment gateway integration Mobile responsiveness E-commerce platforms (e.g., Shopify)"
Network Engineer,Boeing,Dublin,$57K-$130K,Wireless network design and architecture Wi-Fi standards and protocols RF (Radio Frequency) planning and optimization Wireless security protocols Troubleshooting wireless network issues
Chemical Analyst,MTU Aero Engines AG,Managua,$61K-$107K,Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis
Registered Nurse,Transurban Group,Seoul,$61K-$116K,"Clinical nursing specialization (e.g., critical care, oncology) Advanced nursing skills Patient education"
Software Engineer,Chipotle Mexican Grill,Addis Ababa,$60K-$117K,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)"
Tax Consultant,Stanley Black & Decker,Yamoussoukro,$65K-$113K,Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency
IT Support Specialist,Siemens AG,George Town,$65K-$83K,"Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills"
Landscape Designer,Oracle,LomÃ©,$63K-$89K,Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management
Physical Therapist,Ross Stores,Baku,$63K-$110K,Pediatric rehabilitation Developmental assessments Child psychology knowledge
Research Analyst,Deutsche Bank AG,Funafuti,$55K-$89K,"Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail"
Landscape Architect,Divi's Laboratories,Nicosia,$59K-$117K,Landscape design Plant selection and care Hardscape design
Art Director,Vertex Pharmaceuticals,New Delhi,$58K-$88K,Art history and knowledge Art curation and exhibition planning Collections management Art market trends Cultural awareness
Email Marketing Specialist,Computacenter,Phnom Penh,$59K-$96K,"Email marketing strategies Email marketing platforms (e.g., MailChimp, HubSpot) Audience segmentation A/B testing Campaign analytics Copywriting HTML/CSS for email Marketing automation Communication skills Data analysis Attention to detail"
Interior Designer,PVH,Vaduz,$63K-$110K,"Hospitality interior design Hotel and restaurant design Branding and theme integration FF&E (furniture, fixtures, and equipment) selection Customer experience design"
Family Lawyer,Avnet,Thimphu,$55K-$105K,Mediation Conflict resolution Negotiation Communication skills Neutrality Problem-solving Legal knowledge Mediation techniques
Legal Advisor,J.M. Smucker,"Washington, D.C.",$62K-$91K,In-house counsel Legal advisory Employment law Intellectual property Regulatory compliance Dispute resolution Contract review Client counseling
Network Security Specialist,AGCO,San Marino,$57K-$108K,"Cybersecurity Security assessments Intrusion detection Security tools (e.g., SIEM) Incident response Vulnerability scanning"
Database Developer,Bosch Group,Montevideo,$60K-$84K,SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills
Graphic Designer,Daimler AG (now known as Mercedes-Benz AG),Copenhagen,$58K-$93K,"Graphic design tools (e.g., Adobe Creative Suite) Web design principles User interface (UI) design Visual communication Typography Creativity and artistic skills"
Software Tester,Huawei Technologies,Yaren District (de facto),$57K-$102K,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management"
Marketing Analyst,"T-Mobile US, Inc.",Khartoum,$57K-$121K,"Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen"
Software Architect,Albertsons,Charlotte Amalie,$64K-$88K,Solution design Technical architecture Cloud computing and software development knowledge
QA Analyst,Foot Locker,Seoul,$55K-$90K,Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis
Financial Analyst,United Rentals,Porto-Novo,$55K-$120K,Financial planning Investment strategy Retirement planning Tax knowledge
Sales Manager,Global Partners,Freetown,$62K-$103K,Key account management Relationship building Sales negotiation
Administrative Assistant,Textron,Port of Spain,$64K-$104K,"Data entry accuracy and speed Database software (e.g., Microsoft Access, Excel) Attention to detail Time management Organization Multitasking Keyboarding skills Data verification Problem-solving Communication skills Computer proficiency"
Aerospace Engineer,Ebay,Muscat,$61K-$126K,Avionics systems Electronic warfare systems Radar systems Aircraft communication systems System integration Testing and validation
Back-End Developer,China Eastern Airlines,Vilnius,$62K-$99K,"Server-side programming languages (e.g., Java, Python) Database management API development"
Market Analyst,UltraTech Cement,Libreville,$59K-$118K,Competitive analysis Market research Data analysis Business strategy Industry knowledge
Interior Designer,Symrise AG,Hanoi,$60K-$118K,Residential interior design Space planning Color theory and selection Furniture and materials selection 3D modeling and rendering
Database Administrator,Markel,Ngerulmud,$57K-$104K,Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring
Litigation Attorney,Builders FirstSource,Monaco,$59K-$110K,Family law Divorce proceedings Child custody Mediation Legal counseling Court representation
Data Scientist,Southwest Airlines,Funafuti,$57K-$125K,Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation
Nurse Practitioner,Henry Schein,Oranjestad,$57K-$130K,Family medicine Health assessment Pediatric care Chronic disease management Patient education
Digital Marketing Specialist,Hochschild Mining,Douglas,$65K-$87K,"Email marketing platforms (e.g., Mailchimp, Constant Contact) Email campaign creation and segmentation A/B testing and optimization Email deliverability and compliance Metrics tracking and analysis"
Legal Counsel,Weir Group,Quito,$65K-$106K,Employment law and regulations Employment contracts and agreements Workplace discrimination and harassment laws Legal compliance Client representation and advocacy
Account Manager,Glencore,Montevideo,$60K-$93K,Client relationship management Customer service Communication skills
Dental Hygienist,Sinochem Group,Damascus,$63K-$104K,Periodontal therapy procedures Patient care and communication Dental instrumentation Periodontal disease management Oral health education
Systems Administrator,Alaska Air Group,Kinshasa,$63K-$89K,Technical troubleshooting Hardware and software support Customer service Problem-solving Communication
Procurement Manager,Qurate Retail,Havana,$60K-$83K,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen
Account Executive,Daimler AG (now known as Mercedes-Benz AG),Panama City,$55K-$103K,Advertising and marketing knowledge Client relationship management Advertising campaign development Budget management Media planning and buying
Public Relations Specialist,Raytheon Technologies,Funafuti,$62K-$82K,Brand management Public relations Brand storytelling Influencer marketing Media monitoring
Veterinarian,Franklin Resources,Port Moresby,$58K-$120K,Veterinary medicine Small animal care and surgery Animal diagnostics Preventive medicine Client communication Surgical skills Radiology Anesthesia Laboratory diagnostics Compassion and empathy Problem-solving Attention to detail
Nurse Practitioner,Performance Food Group,Sri Jayawardenepura Kotte,$59K-$87K,Nursing care Patient assessment Health promotion Medication administration Electronic health records (EHR)
Wedding Planner,United Rentals,Sofia,$62K-$102K,Wedding design concepts Decor selection and arrangement Creative flair
Environmental Engineer,Standard Chartered,Doha,$65K-$91K,Sustainability practices Environmental management systems Green certifications
UX/UI Designer,Autoliv,Baku,$60K-$113K,"User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows"
Quality Assurance Analyst,Molson Coors Beverage,Podgorica,$56K-$110K,"Test automation frameworks and tools Scripting and programming languages (e.g., Python, Java) Continuous integration and continuous testing (CI/CT) Test script development and maintenance Test environment setup and management"
Account Executive,ManpowerGroup,Singapore,$58K-$113K,Sales strategies and tactics Account management Relationship building Sales forecasting Industry and product knowledge
Public Relations Specialist,Altria Group,Copenhagen,$63K-$98K,Media relations Press releases Media outreach Crisis communication Public relations strategies
Graphic Designer,Starbucks,Nouakchott,$60K-$128K,"Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge"
Account Director,Fox,Manama,$58K-$104K,Business development Sales strategy Market analysis Client acquisition Team leadership Strategic planning Presentation skills
Database Administrator,BlueScope Steel,Manama,$59K-$89K,"Database design and development SQL and database querying Data modeling Programming languages (e.g., Java, Python) Data security and privacy regulations knowledge"
Software Engineer,Northern Star Resources,Palikir,$62K-$118K,"Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization"
Digital Marketing Specialist,EnLink Midstream,Hanoi,$58K-$119K,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising"
Dental Hygienist,China Pacific Insurance,Kathmandu,$59K-$94K,Periodontal therapy procedures Patient care and communication Dental instrumentation Periodontal disease management Oral health education
Dental Hygienist,SAP SE,Kabul,$65K-$94K,Dental hygiene knowledge Teaching and instructional skills Curriculum development Student assessment Clinical practice experience
Social Worker,Nestle India,Gitega,$55K-$90K,School social work principles Student assessment and intervention Special education laws Individualized education plans (IEPs) Crisis management Collaboration with educators Family engagement Advocacy Empathy and communication Documentation Cultural competence Licensing and certification
Network Technician,IBM (International Business Machines Corporation),Lima,$63K-$105K,Network troubleshooting IT support Network configuration Technical knowledge Problem-solving
HR Coordinator,CommScope Holding,Ljubljana,$58K-$122K,Recruitment process Candidate screening Applicant tracking systems Communication
Customer Service Manager,Publix Super Markets,The City of Hamilton,$61K-$82K,Quality assurance Quality control Process improvement Audit procedures Compliance standards Root cause analysis
Marketing Director,Uber Technologies,Apia,$58K-$104K,Marketing communication Public relations Content strategy Crisis management Media relations
Procurement Manager,Caesars Entertainment,Manama,$59K-$106K,Procurement processes Vendor assessment Contract negotiation Purchase order management Spend analysis Market research Supplier relationship management Data analysis Problem-solving Attention to detail Communication skills Financial acumen
Software Engineer,Molina Healthcare,Doha,$65K-$90K,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)"
Market Analyst,Lloyds Banking Group,Mogadishu,$63K-$102K,Competitive analysis Market research Data analysis Business strategy Industry knowledge
Accountant,Deutsche Post DHL Group,Kyiv (also known as Kiev),$55K-$101K,Forensic accounting Fraud detection Legal knowledge Investigative skills
Data Scientist,Jacobs Solutions,Juba,$65K-$95K,Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation
Front-End Engineer,Hess,Berlin,$61K-$103K,"JavaScript programming Frontend development Frontend frameworks (e.g., React, Angular) DOM manipulation AJAX Debugging and troubleshooting"
Legal Advisor,American Airlines Group,Conakry,$56K-$127K,Corporate law Compliance Mergers and acquisitions Corporate governance Contract drafting Risk management Legal strategy Due diligence
Sales Representative,"Fidelity Investments, Inc.",Yaounde,$58K-$84K,"Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building"
Tax Consultant,Kraft Heinz,Maseru,$63K-$82K,Tax law knowledge Individual tax planning Tax return preparation Tax deductions and credits Tax compliance IRS regulations Client relationship management Communication skills Attention to detail Tax software proficiency
Chemical Analyst,Melrose Industries,Noumea,$64K-$88K,Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis
Product Manager,Johnson & Johnson,Baku,$62K-$98K,Agile product development Scrum or Kanban frameworks Backlog management User story writing Prioritization techniques Collaboration with development teams Product vision and strategy
Financial Advisor,Intel,Nassau,$61K-$92K,Retirement planning Social security Investment products Tax planning Estate planning
Event Coordinator,Marathon Petroleum,Amsterdam,$63K-$83K,Event planning and coordination Budget management Vendor negotiation Venue selection and management Timeline and logistics planning Marketing and promotion Risk management Client communication Creativity Problem-solving Attention to detail
Digital Marketing Specialist,Munich Re Group,Tegucigalpa,$61K-$83K,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising"
SEM Specialist,Warner Bros. Discovery,Managua,$65K-$103K,Google Ads management PPC campaign optimization Keyword research Ad copywriting A/B testing Conversion tracking
Front-End Developer,Delta Air Lines,Mbabane,$60K-$87K,"User interface (UI) design User experience (UX) design Web design principles Prototyping and wireframing Front-end development languages (e.g., HTML, CSS, JavaScript) Interaction design User testing Responsive design Usability testing Collaboration Attention to detail"
Account Executive,Group 1 Automotive,Kabul,$62K-$89K,Key account management Sales strategy development Negotiation and closing skills Relationship building Industry and market knowledge
Paralegal,Magellan Financial Group,Palikir,$58K-$110K,Legal research Discovery management Case preparation Trial support Document review Client communication E-filing Attention to detail Multitasking Legal terminology Technology proficiency Communication skills Legal software proficiency
Data Analyst,Ebay,Copenhagen,$59K-$104K,"Data analysis and visualization tools (e.g., Tableau, Power BI) SQL and database querying Business intelligence concepts Data modeling and reporting Strong analytical and problem-solving skills Data-driven decision-making"
Network Security Specialist,Petrofac,Caracas,$58K-$81K,Security consulting Risk assessment Security audits Security policy development Penetration testing Client communication
Software Engineer,Northern Trust,Naypyidaw,$59K-$126K,"Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization"
Nurse Practitioner,United Airlines Holdings,Kathmandu,$63K-$109K,Family medicine Health assessment Pediatric care Chronic disease management Patient education
Administrative Assistant,Abbott Laboratories,Rome,$61K-$112K,"Data entry accuracy and speed Database software (e.g., Microsoft Access, Excel) Attention to detail Time management Organization Multitasking Keyboarding skills Data verification Problem-solving Communication skills Computer proficiency"
Data Entry Clerk,Progressive,Noumea,$59K-$116K,Records management Data entry and retrieval Attention to detail
Sales Representative,Hikvision,Belmopan,$64K-$99K,"Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building"
Software Engineer,Kingfisher plc,Manama,$55K-$104K,"Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization"
Purchasing Agent,"The Goldman Sachs Group, Inc.",Kuala Lumpur,$56K-$119K,Supply chain logistics Inventory management Communication skills Problem-solving Vendor coordination
Physical Therapist,Airbnb,Ngerulmud,$62K-$85K,Orthopedic assessment and treatment Rehabilitation exercises Patient education
Software Engineer,Watsco,Ouagadougou,$61K-$96K,"Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)"
Executive Assistant,Bank of America,Bangui,$63K-$102K,Organizational and time management skills Calendar and appointment management Communication and correspondence Travel coordination Discretion and confidentiality
Account Executive,Mphasis,Sanaa,$58K-$128K,Key account management Sales strategy development Negotiation and closing skills Relationship building Industry and market knowledge
Pediatrician,Reliance Steel & Aluminum,Kuala Lumpur,$59K-$96K,"Pediatric specialization Advanced pediatric care Pediatric subspecialty (e.g., pediatric cardiology, pediatric oncology) Pediatric diagnostics Pediatric treatment"
Digital Marketing Specialist,Voltas Limited,Asmara,$58K-$121K,"Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising"
Mechanical Designer,Campbell Soup,Brussels,$63K-$117K,"Product design principles Prototyping and wireframing User research User testing UI/UX design 3D modeling (if applicable) Collaboration Problem-solving Creativity Attention to detail Communication skills Software proficiency (e.g., Sketch, Adobe XD)"
Network Security Specialist,Amgen,Funafuti,$58K-$102K,"Cybersecurity Security assessments Intrusion detection Security tools (e.g., SIEM) Incident response Vulnerability scanning"
Wedding Planner,Fluor,Bishkek,$55K-$115K,Wedding design concepts Decor selection and arrangement Creative flair
Sales Manager,Activision Blizzard,Dili,$64K-$125K,Sales leadership Team management Sales strategy and planning
Customer Service Manager,Pfizer,Tripoli,$60K-$130K,Customer support Team leadership Customer satisfaction Issue resolution Performance metrics Training and development
Landscape Architect,Hochschild Mining,Luanda,$64K-$81K,Urban design and planning Zoning regulations GIS and mapping tools
Network Technician,SpartanNash,Pretoria,$56K-$84K,Network security Cybersecurity Intrusion detection Security analysis Firewall management
Investment Analyst,CNOOC (China National Offshore Oil Corporation),Libreville,$64K-$82K,Investment management Financial analysis Risk assessment Asset allocation Portfolio optimization
Web Developer,Asbury Automotive Group,Oslo,$63K-$116K,"HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX)"
Front-End Developer,Tractor Supply,Doha,$60K-$106K,"Web design concepts Graphic design software (e.g., Adobe Creative Suite) HTML and CSS Responsive design User interface (UI) principles Visual communication Typography Color theory Creativity Attention to detail Collaboration"
Account Manager,Molson Coors Beverage,Yamoussoukro,$60K-$130K,Account management Sales strategy Negotiation and closing skills
Marketing Analyst,PPL,Monaco,$58K-$127K,"Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen"
HR Manager,Steel Dynamics,Palikir,$58K-$94K,Employment law knowledge Compliance management Auditing skills Employee relations Communication skills
Systems Analyst,Siemens AG,Dakar,$61K-$101K,IT systems analysis Troubleshooting IT support and documentation
Back-End Developer,Regions Financial,Helsinki,$63K-$97K,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)"
Email Marketing Specialist,WPP plc,Funafuti,$58K-$90K,"Email marketing strategies Email marketing platforms (e.g., MailChimp, HubSpot) Audience segmentation A/B testing Campaign analytics Copywriting HTML/CSS for email Marketing automation Communication skills Data analysis Attention to detail"
Psychologist,Caesars Entertainment,Apia,$61K-$109K,Clinical psychology Counseling skills Assessment tools Diagnostic skills Empathy and listening skills
Sales Representative,JD.com,Tbilisi,$64K-$120K,"Sales prospecting and lead generation Sales presentation and communication CRM software (e.g., Salesforce) Sales negotiation and closing techniques Product knowledge Relationship building"
Event Planner,Colgate-Palmolive,Apia,$64K-$98K,Event planning Vendor coordination Budget management Marketing and promotion Logistics
Customer Support Specialist,Chevron,Windhoek,$63K-$129K,Customer relationship management Onboarding and training Customer feedback analysis Retention strategies Cross-selling and upselling Strong communication and empathy Customer advocacy
Architect,Automatic Data Processing,Praia,$55K-$113K,"Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design"
Database Developer,Domino's Pizza Group,Port Vila,$56K-$102K,SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills
Administrative Assistant,Brambles Limited,Singapore,$59K-$91K,"Calendar management Travel coordination Meeting scheduling Correspondence and communication Office organization Confidentiality Time management Problem-solving Attention to detail Communication skills Technology proficiency (e.g., MS Office)"
Teacher,Goodyear Tire & Rubber,Bratislava,$60K-$111K,Teaching pedagogy Classroom management Curriculum development Student assessment Differentiated instruction
Mechanical Engineer,Intel,Dublin,$58K-$112K,Knowledge of HVAC systems and equipment Mechanical engineering skills Problem-solving abilities AutoCAD proficiency HVAC design and installation expertise
Project Manager,Raymond James Financial,Gaborone,$60K-$104K,"Agile methodologies Scrum or Kanban Team collaboration Agile tools (e.g., Jira)"
Social Media Coordinator,AMP Limited,London,$55K-$93K,"Content creation (e.g., writing, editing, graphic design, video production) Content marketing Social media management SEO optimization Creative storytelling Audience engagement Analytics and reporting Adaptability Communication skills Creativity"
Nurse Manager,Chewy,Dili,$64K-$111K,Nursing management Patient care coordination Staff supervision Compliance with healthcare regulations Quality improvement Leadership skills
Inventory Analyst,Public Service Enterprise Group,N'Djamena,$61K-$115K,Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills
Event Planner,Block,Monrovia,$60K-$99K,Event planning Vendor coordination Budget management Marketing and promotion Logistics
Front-End Engineer,Oil Search,San Jose,$65K-$102K,"JavaScript programming Frontend development Frontend frameworks (e.g., React, Angular) DOM manipulation AJAX Debugging and troubleshooting"
Aerospace Engineer,J.M. Smucker,Sofia,$63K-$87K,Systems engineering System architecture Integration testing Troubleshooting Technical documentation Configuration management
Graphic Designer,Cardinal Health,Khartoum,$58K-$104K,"Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge"
Paralegal,Adani Green Energy,Luanda,$61K-$117K,Real estate transactions Title searches Closing processes Deed preparation Contract review Communication with real estate professionals Attention to detail Real estate terminology Technology proficiency Legal software proficiency Legal research skills
Public Relations Specialist,Ryder System,City of Baghdad,$56K-$104K,Crisis communication planning Crisis response Media relations Reputation management Stakeholder communication
Architect,NTPC Limited,Conakry,$57K-$105K,"Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design"
Event Planner,Huawei Technologies,Maputo,$62K-$80K,Event planning Vendor coordination Budget management Marketing and promotion Logistics
Brand Manager,Tesco,Dublin,$62K-$116K,"Marketing analytics Data analysis tools (e.g., Google Analytics, Adobe Analytics) Brand performance measurement Consumer behavior analysis Campaign effectiveness evaluation"
Office Manager,Melrose Industries,Bissau,$62K-$125K,Office administration Calendar management Reception duties Communication skills Record keeping Office supplies management
Key Account Manager,Industrial and Commercial Bank of China (ICBC),Accra,$55K-$121K,Account management Client relationship Sales strategy Business development Negotiation skills
Business Analyst,Wipro Limited,Hanoi,$60K-$93K,Business process analysis Requirement gathering Data analysis Communication skills
Investment Advisor,PetroChina,Abuja,$58K-$118K,Financial planning Investment knowledge Relationship management Communication skills Analytical skills
Network Administrator,Global Payments,Kinshasa,$60K-$123K,"System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge"
Brand Ambassador,Avnet,Bucharest,$55K-$85K,Social media management Content creation Audience engagement Marketing strategy Communication skills
Executive Assistant,Discover Financial Services,Macao,$60K-$81K,Office administration and management Budgeting and expense tracking Team coordination and supervision Facility management Vendor and supplier relations
